round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG13,0.06702126638889312,0.2169,0.1944213225991461,0.2169,0.13408140909272592,0.22479999999999997,0.1740460325521574,0.21786526771904277,0.13500418283099763
2,Federated,VGG13,0.060942922675609586,0.2717,0.21266437936840088,0.2717,0.2089676866898389,0.25,0.1986573202190336,0.25239062222074515,0.19111995570856335
3,Federated,VGG13,0.05653194729089737,0.3248,0.33316464162046533,0.3248,0.27306556626386935,0.312,0.2650934957739535,0.31571129296535094,0.2646045173855714
4,Federated,VGG13,0.053168230104446414,0.3709,0.363841535416143,0.3709,0.32788092504091326,0.35680000000000006,0.3514618555149756,0.35907104108205756,0.3113329907373491
5,Federated,VGG13,0.04864785968065262,0.4242,0.4167532953411383,0.4242000000000001,0.3983499599546342,0.41600000000000004,0.40171653831137066,0.41338293024087636,0.38903066919448814
6,Federated,VGG13,0.04634268593788147,0.4442,0.43247500221996854,0.44420000000000004,0.41676146427250726,0.42919999999999997,0.4200166430458256,0.43342813559516086,0.4061269395679248
7,Federated,VGG13,0.044780921745300295,0.4706,0.4624035708451445,0.4706,0.44782259826132476,0.45640000000000003,0.4426722081234562,0.45777668042074104,0.4336740020297983
8,Federated,VGG13,0.0424683678328991,0.502,0.4909455190741858,0.502,0.48941404200105965,0.47119999999999995,0.4636744915028414,0.47642028118880253,0.46224252133280685
9,Federated,VGG13,0.04112778980731964,0.5165,0.507324567319161,0.5165,0.5064155648672516,0.5148,0.50673149943668,0.5137560436975579,0.5043943742139299
10,Federated,VGG13,0.039918714535236356,0.534,0.5346521421274372,0.534,0.5280066019062352,0.51,0.5145750375032764,0.5137862870457711,0.5046506525065206
11,Federated,VGG13,0.03829172559976578,0.5479,0.539690455320134,0.5478999999999999,0.53883006020758,0.5412000000000001,0.5348739190866326,0.5458608194842485,0.5348177021643409
12,Federated,VGG13,0.0374184600174427,0.5596,0.5575141707546917,0.5596,0.5473916284797438,0.5471999999999999,0.5441820777881823,0.550039531826301,0.5368414737910767
13,Federated,VGG13,0.036137714034318924,0.5785,0.5725535368093414,0.5784999999999999,0.5695857595603603,0.5612,0.5645068344816709,0.5699173432785412,0.5590782213113117
14,Federated,VGG13,0.03495433052182197,0.5954,0.5891673629224247,0.5954,0.5880725642039215,0.5884,0.5857677850721554,0.5897684447627155,0.5827385506260594
15,Federated,VGG13,0.03344856166839599,0.6112,0.6069119146805286,0.6112,0.6064953678920106,0.6052,0.6050031778260887,0.6081451738461713,0.6015147150055504
16,Federated,VGG13,0.03310359787642956,0.6165,0.6164314854653701,0.6164999999999999,0.609789236327265,0.606,0.6111652755465081,0.6099714476083171,0.6013048222397914
17,Federated,VGG13,0.031964017522335054,0.6298,0.6250526324459653,0.6297999999999999,0.6218312492848873,0.6232,0.6246157150886074,0.6298078783535919,0.6193492658674816
18,Federated,VGG13,0.03104483433365822,0.6443,0.6440261125015281,0.6443,0.6413743793000616,0.6332000000000001,0.6377890868720368,0.635630671491223,0.6329314956284281
19,Federated,VGG13,0.030298140528798104,0.6535,0.648436699058515,0.6535,0.6460865818494632,0.6628000000000001,0.658776354980192,0.6623761502441547,0.6556285181440982
20,Federated,VGG13,0.028947083950042723,0.6702,0.6667766602141556,0.6702000000000001,0.665882950446783,0.6656000000000001,0.663263025695551,0.6684724962471401,0.6631532812115631
21,Federated,VGG13,0.028543339908123015,0.673,0.6689076895466938,0.673,0.6681964945979018,0.6699999999999999,0.6690927794568716,0.6730528047795161,0.667601749811294
22,Federated,VGG13,0.027754245591163636,0.6854,0.6813742088633455,0.6854,0.681118188776481,0.6843999999999999,0.6798710864817197,0.6845569423580067,0.6795406285361686
23,Federated,VGG13,0.02691764537394047,0.6951,0.693740451590214,0.6950999999999998,0.6925007776973435,0.7091999999999999,0.7090480209772501,0.7099161639603663,0.7067859857325839
24,Federated,VGG13,0.02635919170677662,0.7035,0.6987284941396374,0.7035,0.6985712525752639,0.7168000000000001,0.7169366149073635,0.7196280066973942,0.7140074731933954
25,Federated,VGG13,0.025759697836637497,0.7103,0.7072867331114464,0.7102999999999999,0.7078814479675754,0.7116,0.7108042483140297,0.7137113065492763,0.7099884046247896
26,Federated,VGG13,0.02516620856523514,0.7195,0.7140305840839187,0.7194999999999999,0.7155587937734617,0.7223999999999999,0.7199913986120752,0.7261327934596686,0.7187317212815285
27,Federated,VGG13,0.02479249119758606,0.7233,0.7240908314461486,0.7232999999999999,0.7210962875829405,0.7288,0.7332515444308432,0.731566179338279,0.7285332389869865
28,Federated,VGG13,0.024231184741854667,0.7325,0.7311168493060756,0.7324999999999999,0.7309807005162473,0.7352000000000001,0.7373588949568025,0.7390748488306872,0.7354206771981235
29,Federated,VGG13,0.02406151355803013,0.7368,0.7338219473756903,0.7368,0.7339707086443216,0.7380000000000001,0.7389684702948321,0.7435514988606448,0.7382860500808079
30,Federated,VGG13,0.023542910969257355,0.7395,0.7357520386850342,0.7395,0.7353122762415343,0.7323999999999999,0.7346064401690923,0.7411798520481541,0.7334095834524383
31,Federated,VGG13,0.023122245395183563,0.7469,0.7466606664318425,0.7468999999999999,0.7461613780824721,0.7496,0.7532611172297833,0.7535350441715802,0.7513965675600449
32,Federated,VGG13,0.023483440777659417,0.7461,0.7428071480808001,0.7461,0.7420380932410023,0.736,0.7336569803474298,0.737282438439917,0.7323411340304625
33,Federated,VGG13,0.023000938946008683,0.7503,0.7474756219113134,0.7503,0.747494726689493,0.724,0.7263122590879917,0.7309630877992059,0.7248249744917546
34,Federated,VGG13,0.022460848042368888,0.7588,0.7560943884656015,0.7588,0.7562899375634148,0.7604000000000001,0.7574407643998561,0.760186549807895,0.7568347084112842
35,Federated,VGG13,0.022477194666862488,0.7579,0.7573426157362774,0.7579,0.7549661481219341,0.7535999999999999,0.7566716312959445,0.7584014892535483,0.7533042169206753
36,Federated,VGG13,0.02215702771991491,0.761,0.7576071627040906,0.7609999999999999,0.7578464371339986,0.7628,0.7632415946352546,0.7676599606986153,0.7626151385855935
37,Federated,VGG13,0.02234158835411072,0.7602,0.7582418051926265,0.7602,0.7570321368496913,0.7415999999999999,0.7436981351836875,0.7463821908905965,0.7411418310512126
38,Federated,VGG13,0.022320242604613304,0.7645,0.7637482390796249,0.7645000000000001,0.7614137988160821,0.76,0.7610625877251573,0.7614673183692882,0.7583337760857152
39,Federated,VGG13,0.02235773367881775,0.7629,0.7620623037764631,0.7629000000000001,0.7598889769008427,0.77,0.7709554291545242,0.7717817661352088,0.7680004961622308
40,Federated,VGG13,0.021921032406389714,0.7691,0.7704682901268038,0.7691,0.7682744692377088,0.7651999999999999,0.7683230290596518,0.7698543304559723,0.7661435289620302
41,Federated,VGG13,0.02202777097374201,0.7691,0.7661025875547355,0.7691,0.7662306330661963,0.7668,0.7696745884702791,0.7722548651254323,0.7671731187708335
42,Federated,VGG13,0.02179741516262293,0.7727,0.7721507145359621,0.7726999999999999,0.7713622583022408,0.7567999999999999,0.7610908788821459,0.7616714499476289,0.7580567501315462
43,Federated,VGG13,0.021879567578434945,0.7731,0.7705087525777807,0.7731000000000001,0.7707895437384537,0.7712000000000001,0.7702617962381807,0.772235321304624,0.7694024264066759
44,Federated,VGG13,0.022088343493640424,0.7751,0.7737366270787366,0.7751,0.7724183635346488,0.7564,0.758825671501431,0.7633869202109504,0.7572298122444721
45,Federated,VGG13,0.02197244667708874,0.7785,0.777401295625172,0.7785000000000001,0.7776661728871014,0.7708,0.7730496382396439,0.7771864801850531,0.7729730192234755
46,Federated,VGG13,0.022071637578308583,0.7799,0.7820238199591311,0.7798999999999999,0.7792882909125545,0.7836000000000001,0.7882815564826497,0.7864522805866314,0.7847064323766683
47,Federated,VGG13,0.022272109396755696,0.7815,0.7792911428255683,0.7815000000000001,0.779372729424762,0.754,0.7581305967143096,0.7604656790631162,0.7562711307166965
48,Federated,VGG13,0.022493310353159903,0.7776,0.7751764979526301,0.7776000000000001,0.7754348206758843,0.7636,0.7643926723150306,0.7689157159561969,0.763419946783893
49,Federated,VGG13,0.022796385614201428,0.7798,0.7801233298429651,0.7798,0.7791120248402079,0.7747999999999999,0.776897644817566,0.7780411970165456,0.7742655394451906
50,Federated,VGG13,0.022597360581159593,0.7803,0.7811144370536068,0.7802999999999999,0.7790991274129604,0.7696,0.7739500277703921,0.7710490436588749,0.767942448322031
51,Federated,VGG13,0.022731137025356292,0.785,0.7839498927668304,0.7849999999999999,0.7840065911552638,0.7727999999999999,0.7751866153590632,0.7775845488439883,0.7740588781493366
52,Federated,VGG13,0.022780382573604582,0.7841,0.7833830403764673,0.7841,0.782688514680841,0.7716000000000001,0.7750220877214737,0.7750720412927187,0.7711846727192849
53,Federated,VGG13,0.02272540727853775,0.7837,0.781779201659831,0.7837000000000001,0.7823406358093414,0.7776,0.7781557892053946,0.7802148379112055,0.7766434478726323
54,Federated,VGG13,0.02400826649516821,0.7752,0.7734388005573203,0.7752000000000001,0.7717984770350521,0.7592000000000001,0.7639408778755125,0.7669995637750597,0.7596810512852203
55,Federated,VGG13,0.024230652265250684,0.777,0.7770206452454003,0.777,0.774752593469176,0.7736000000000001,0.7749914777943837,0.7758166625657108,0.7727295227954846
56,Federated,VGG13,0.024521315751969815,0.7825,0.7820618035426273,0.7825,0.7807226052221643,0.764,0.766200182054585,0.7691505198525729,0.7639802446793655
57,Federated,VGG13,0.02377723817974329,0.7824,0.7801288251168009,0.7823999999999999,0.7804773386652075,0.7703999999999999,0.7700116363634618,0.7741990193515418,0.7688942897552392
58,Federated,VGG13,0.024609269531071187,0.7806,0.7793795350920678,0.7806,0.7791503212537775,0.772,0.7754305664818334,0.7784117588616124,0.7740130934413427
59,Federated,VGG13,0.02530350008904934,0.782,0.7799982841437825,0.782,0.7803189453565998,0.7744,0.7751371036474707,0.7769743178135403,0.7734646997107205
60,Federated,VGG13,0.025657447442412377,0.7821,0.781576306368783,0.7821,0.7796167419027628,0.7824,0.7834441109815519,0.78291529528885,0.7804643972133296
61,Federated,VGG13,0.027861718203127384,0.7849,0.78297895819519,0.7849,0.7831441198146714,0.7727999999999999,0.7724201049872962,0.7743722584237513,0.7718654540019078
62,Federated,VGG13,0.028174407574534415,0.7806,0.7790838193314886,0.7806,0.7791441621927698,0.7548,0.7587002386378824,0.762786014405495,0.7574884777469457
63,Federated,VGG13,0.02878697473630309,0.783,0.78045858575405,0.783,0.7809315135738731,0.7736000000000001,0.7748522097452429,0.7782518722660214,0.7735439626470767
64,Federated,VGG13,0.03126804990619421,0.7836,0.7830534463664695,0.7836,0.7826327000649174,0.7884,0.7910482681718662,0.79078312165789,0.7895037968947274
65,Federated,VGG13,0.03604244847595692,0.786,0.7871897697379012,0.786,0.7865038810923111,0.776,0.7801680051362098,0.7813598518947591,0.7788451523686626
66,Federated,VGG13,0.03903003452718258,0.7852,0.7853027863534336,0.7852,0.7851380690427541,0.7860000000000001,0.7882503568791434,0.7853500939936376,0.7854504571468298
67,Federated,VGG13,0.04109015886299312,0.7848,0.785363134778776,0.7848,0.7849495520368174,0.7672000000000001,0.7714183540301282,0.7731032860218114,0.7703495237443361
68,Federated,VGG13,0.04296930632740259,0.7849,0.7856432053657765,0.7848999999999999,0.7851080785894231,0.784,0.7880003735229666,0.7874405631601495,0.7859559139804717
