round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Resnet34,0.11085371520519256,0.1585,0.17371249804452588,0.15849999999999997,0.13617444640977255
2,Centralized,Resnet34,0.09781991004943848,0.2364,0.259561232072556,0.2364,0.21561930629322298
3,Centralized,Resnet34,0.0915944240808487,0.2763,0.3036059344422124,0.2763,0.2619102442179798
4,Centralized,Resnet34,0.08601194497346878,0.3144,0.37835441961814453,0.31439999999999996,0.3060239292747477
5,Centralized,Resnet34,0.0825852450966835,0.3327,0.36401476795862064,0.33269999999999994,0.32411923183250374
6,Centralized,Resnet34,0.08280026367902756,0.3447,0.39231684117204024,0.34470000000000006,0.3387519421833304
7,Centralized,Resnet34,0.08293877223730087,0.3517,0.3940670430242558,0.35169999999999996,0.3426638999488321
8,Centralized,Resnet34,0.0811493635058403,0.3719,0.4037049009310599,0.37189999999999995,0.36721938889218725
9,Centralized,Resnet34,0.08103661197423935,0.3757,0.41002842515982485,0.3757000000000001,0.3746077035047535
10,Centralized,Resnet34,0.08890051048994065,0.355,0.39953244368415064,0.355,0.3543738190712121
11,Centralized,Resnet34,0.08630531997680664,0.3792,0.39591316993792963,0.37920000000000004,0.37257066747041306
12,Centralized,Resnet34,0.08939412474632263,0.3764,0.40922794728914696,0.3764,0.3767716767892175
13,Centralized,Resnet34,0.09383602802753449,0.3733,0.3914005415346951,0.37329999999999997,0.36640752203302795
14,Centralized,Resnet34,0.09688224999904632,0.374,0.4028900075220132,0.3739999999999999,0.37382098350990406
15,Centralized,Resnet34,0.0960685965180397,0.3736,0.3992346959150822,0.3736,0.37269122319887266
16,Centralized,Resnet34,0.10167244457006454,0.3809,0.3952276913756878,0.3809,0.37775059943316314
17,Centralized,Resnet34,0.11115372631549836,0.3634,0.3921488715309929,0.36339999999999995,0.365046585064067
18,Centralized,Resnet34,0.11354540992975234,0.3758,0.4120685794473025,0.37579999999999997,0.3787744656271721
19,Centralized,Resnet34,0.11413894255161286,0.3767,0.39985937112489095,0.3766999999999999,0.3771367671764987
20,Centralized,Resnet34,0.11934092799425125,0.3732,0.3949703548220596,0.3732,0.37042084946072246
21,Centralized,Resnet34,0.11928939409255981,0.3736,0.40802511212543513,0.37360000000000004,0.3770493812423686
22,Centralized,Resnet34,0.12030332536697387,0.3827,0.40366109047944293,0.3827,0.38325949571631
23,Centralized,Resnet34,0.1220904924273491,0.3882,0.40445808650049736,0.3882000000000001,0.3887922034777949
24,Centralized,Resnet34,0.1223422397494316,0.3896,0.40647615675077103,0.38959999999999995,0.3904107167036232
25,Centralized,Resnet34,0.1258272987127304,0.3893,0.40754698982529886,0.3893000000000001,0.3904540611923881
26,Centralized,Resnet34,0.1388458705663681,0.3715,0.4036386398222943,0.37150000000000005,0.37467689018691
27,Centralized,Resnet34,0.1284419721364975,0.3975,0.40528805711487154,0.3975000000000001,0.3952560112990706
28,Centralized,Resnet34,0.12913602693080903,0.3947,0.4023381349926619,0.3947,0.39277556610717473
29,Centralized,Resnet34,0.13481747941970826,0.379,0.4016221217487338,0.379,0.3805362524986601
30,Centralized,Resnet34,0.1316688642024994,0.3907,0.3984666076902399,0.39070000000000005,0.388102134661331
31,Centralized,Resnet34,0.1384977545261383,0.3854,0.40825464762169106,0.3853999999999999,0.38792138305274226
32,Centralized,Resnet34,0.13734503688812255,0.3894,0.40251021565172734,0.38939999999999997,0.3901003211777394
33,Centralized,Resnet34,0.1359311362504959,0.3907,0.4117654278264537,0.39070000000000016,0.3940984052658223
34,Centralized,Resnet34,0.1421112983942032,0.3859,0.3954524513768291,0.38589999999999997,0.3827654364582155
35,Centralized,Resnet34,0.13931368149518966,0.3951,0.40793187738779657,0.3951,0.3961979099842067
36,Centralized,Resnet34,0.14183666427135466,0.3983,0.4120214173909042,0.3983,0.39791432138420646
37,Centralized,Resnet34,0.14361892368793489,0.3944,0.411181272794244,0.3944,0.39626775451393903
38,Centralized,Resnet34,0.14184341657161711,0.4015,0.41771867471684876,0.4015000000000001,0.4025541829710778
39,Centralized,Resnet34,0.14115477074384689,0.4055,0.4098056059648406,0.40549999999999997,0.40234751530779517
