round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Densenet121,0.14144300398826598,0.0281,0.035629064004021306,0.0281,0.015351270795898056,0.027600000000000003,0.016667432390803906,0.025568784704839125,0.012292455935123429
2,Federated,Densenet121,0.13352757210731506,0.0557,0.0665271787061,0.0557,0.04069987027388607,0.060399999999999995,0.052000650427929694,0.06403730158730157,0.0447740359518862
3,Federated,Densenet121,0.12573866529464722,0.0854,0.09485441546309543,0.0854,0.06334915608186376,0.07680000000000001,0.06272427756723183,0.08335056689342404,0.05551146741325454
4,Federated,Densenet121,0.12115836715698242,0.1116,0.10149857639840457,0.1116,0.08437565626613287,0.11080000000000001,0.10038037341163886,0.11889107547781017,0.08458630539516195
5,Federated,Densenet121,0.11698646275997161,0.1341,0.13569739644146983,0.13410000000000002,0.10734617878362694,0.126,0.09622007282199749,0.13159279794279793,0.09361090463612688
6,Federated,Densenet121,0.11338300337791443,0.1525,0.1536678148346358,0.1525,0.12455631755539363,0.148,0.12811754660958202,0.15490225453558787,0.11446288796960455
7,Federated,Densenet121,0.10998308732509612,0.1705,0.18163426591202847,0.17050000000000004,0.14475644276140093,0.17560000000000003,0.15098002215970366,0.17563924162257497,0.1387711219143214
8,Federated,Densenet121,0.10724273898601532,0.1878,0.18873527475957338,0.18779999999999997,0.16486395953072028,0.1808,0.16234010489682316,0.1823224386724387,0.14657455486114293
9,Federated,Densenet121,0.1052438665151596,0.1961,0.1991436502270829,0.19610000000000002,0.17220487110616076,0.19319999999999998,0.18658887321941314,0.1939149591149591,0.16248723091919276
10,Federated,Densenet121,0.10279477183818816,0.2146,0.2163224965577948,0.2146,0.1918813429124228,0.2072,0.19343053042678296,0.20876632256632255,0.1699153514082053
11,Federated,Densenet121,0.10035014493465423,0.2266,0.2209436596443669,0.22659999999999997,0.20304723653072526,0.22559999999999997,0.21069679487179488,0.22949107004107003,0.19413148000825345
