round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Mobilenet_v2,0.14436683449745177,0.01,0.00010001000100010001,0.01,0.00019803940984255871,0.0108,0.00010893424036281178,0.010081220366934655,0.00021530191525255134
2,Federated,Mobilenet_v2,0.1447283030986786,0.01,0.0001,0.01,0.00019801980198019803,0.01,0.00010036363636363636,0.01004040404040404,0.0001984587150215573
3,Federated,Mobilenet_v2,0.14521075487136842,0.0101,0.0002106978405513392,0.0101,0.0003795516519445407,0.01,0.0001061290440955576,0.009854462997320141,0.00020961315268785714
4,Federated,Mobilenet_v2,0.14590331387519836,0.0101,0.00029283041044199067,0.0101,0.0003306235333556822,0.013600000000000001,0.00013794857578196138,0.010081220366934653,0.00027212994911757167
5,Federated,Mobilenet_v2,0.1461914903640747,0.01,0.000100391526955125,0.01,0.00019878739687903785,0.010799999999999999,0.00010823374386597219,0.010020202020202021,0.00021363955481850964
6,Federated,Mobilenet_v2,0.14789721140861511,0.0099,0.00021805752003771806,0.009899999999999999,0.0004260746645126384,0.012,0.0002742655706018641,0.011540871298014154,0.0005315093069186625
7,Federated,Mobilenet_v2,0.14904853668212892,0.0096,0.00025807213920423427,0.009600000000000001,0.0004864747814065688,0.009600000000000001,0.00036574482193320356,0.00958109668109668,0.0006772649218582232
8,Federated,Mobilenet_v2,0.14725422005653382,0.0105,0.00058465178840611,0.0105,0.000618245956638948,0.008799999999999999,0.0004186043237572051,0.008882154882154884,0.0006426084462367893
9,Federated,Mobilenet_v2,0.14431148252487183,0.012,0.002828648014894508,0.012000000000000002,0.0021010441666621266,0.0152,0.005427690553509961,0.013966818983485651,0.003751380790836588
10,Federated,Mobilenet_v2,0.13882955760955812,0.0211,0.012207125646039063,0.021099999999999997,0.008178878024692148,0.0216,0.00865568518094243,0.01768015873015873,0.006154291435131766
11,Federated,Mobilenet_v2,0.13604214503765105,0.0311,0.02727090721028193,0.0311,0.014726326486902664,0.0288,0.011623181960247397,0.027861111111111107,0.011776221312379698
12,Federated,Mobilenet_v2,0.13374164912700653,0.0413,0.04914987226418223,0.041299999999999996,0.0241312565356165,0.0428,0.026838607454295928,0.04154057337220603,0.022350622951886594
13,Federated,Mobilenet_v2,0.1291186465740204,0.0613,0.06313056008847603,0.0613,0.03957919413465181,0.055200000000000006,0.024107902593479967,0.05228815135481803,0.026190770721237565
14,Federated,Mobilenet_v2,0.12623162291049958,0.0731,0.06505329480936889,0.0731,0.048221096229020224,0.0648,0.042817095860397815,0.06697540484207151,0.0397975699615098
15,Federated,Mobilenet_v2,0.12388075618743896,0.083,0.08964792390284369,0.08299999999999999,0.058264139295217114,0.0856,0.06659670571425756,0.08656364552555028,0.057570377425772645
16,Federated,Mobilenet_v2,0.12089443435668945,0.1041,0.10549607959108469,0.1041,0.07414745334895127,0.098,0.07571156663390435,0.09946547218213884,0.06508537650647049
17,Federated,Mobilenet_v2,0.11980450856685639,0.1131,0.1006160067526836,0.1131,0.084923704729205,0.0964,0.07068346578128167,0.10149993586660253,0.06725156543248428
18,Federated,Mobilenet_v2,0.11807423965930938,0.1231,0.11711679134202874,0.1231,0.09711656589558887,0.1072,0.09171657238625561,0.10914063652396988,0.08020162330495806
19,Federated,Mobilenet_v2,0.11613442506790161,0.1329,0.13660835114983177,0.1329,0.10659213359497183,0.1248,0.11095939091486243,0.13151046176046174,0.09791793473426405
