round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Googlenet,0.045359697633981705,0.4703,0.5099859231642705,0.47030000000000005,0.4467537099227813
2,Centralized,Googlenet,0.03529797045588493,0.5957,0.6178734098097283,0.5957000000000001,0.5931471269318365
3,Centralized,Googlenet,0.03334280833005905,0.6238,0.640955515188027,0.6237999999999999,0.608009704247516
4,Centralized,Googlenet,0.03258767242133617,0.6537,0.6901189112321728,0.6537000000000001,0.6572898747928988
5,Centralized,Googlenet,0.03362796515226364,0.6485,0.6842374067125704,0.6485,0.6507644246609714
6,Centralized,Googlenet,0.025680909478664398,0.7199,0.7435355505114752,0.7199000000000001,0.72220230451253
7,Centralized,Googlenet,0.026642630943655966,0.7152,0.7315993603730342,0.7152,0.7140449659554888
8,Centralized,Googlenet,0.02193351306915283,0.7593,0.7670742842942133,0.7592999999999999,0.7620095679573936
9,Centralized,Googlenet,0.02462703645825386,0.7462,0.7528235282800252,0.7462,0.7462466603652844
10,Centralized,Googlenet,0.030167161309719085,0.7077,0.731944390435683,0.7077000000000001,0.6981942243239354
11,Centralized,Googlenet,0.030652983117103575,0.7092,0.7365578447167144,0.7092,0.7084954023113297
12,Centralized,Googlenet,0.024781925174593926,0.7594,0.7629100918416966,0.7594,0.758131831149939
13,Centralized,Googlenet,0.024878546598553656,0.7599,0.7615051190927254,0.7599,0.7562803184971086
14,Centralized,Googlenet,0.026793127547204493,0.7595,0.7624138514711999,0.7595000000000001,0.7574514166154354
15,Centralized,Googlenet,0.02714972669184208,0.7559,0.767068131679001,0.7559,0.7594802407056517
16,Centralized,Googlenet,0.027122900754213333,0.764,0.7662767736653465,0.7640000000000001,0.7625376516227569
17,Centralized,Googlenet,0.029448358429968357,0.7564,0.7656278186893574,0.7564000000000001,0.7551134402725415
18,Centralized,Googlenet,0.027373391431570054,0.7703,0.7752869332374562,0.7703,0.7713039604563722
19,Centralized,Googlenet,0.029308933667838575,0.7599,0.7609925296175353,0.7599,0.7586031981109089
20,Centralized,Googlenet,0.029536162228882314,0.7703,0.7733454944636853,0.7703,0.7703384273842
21,Centralized,Googlenet,0.033312435311079025,0.7582,0.7647719173097164,0.7581999999999999,0.7566515829556512
22,Centralized,Googlenet,0.03166731842309237,0.7624,0.76501042900603,0.7624000000000001,0.7604237972646211
23,Centralized,Googlenet,0.030314053435623645,0.7707,0.7758816770836059,0.7706999999999999,0.7710787863836847
