round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Resnet18,0.041826368802785875,0.5168,0.5475376789226558,0.5168,0.504237452129232
2,Centralized,Resnet18,0.036293715393543244,0.5963,0.6155021166014125,0.5962999999999999,0.5794576677195409
3,Centralized,Resnet18,0.03155039545297623,0.6527,0.6561277396617253,0.6527,0.6457849933785746
4,Centralized,Resnet18,0.02982313032448292,0.6738,0.6820002158466666,0.6738,0.6719737656159712
5,Centralized,Resnet18,0.03202854463756084,0.661,0.6821902819338082,0.661,0.6638935081270154
6,Centralized,Resnet18,0.03146144484579563,0.6753,0.6867566051674702,0.6753000000000002,0.674443240892124
7,Centralized,Resnet18,0.03047451978623867,0.6866,0.6993048016153239,0.6866000000000001,0.6902321468499342
8,Centralized,Resnet18,0.033341660717129705,0.6909,0.6995463851606479,0.6909,0.6894106623920753
9,Centralized,Resnet18,0.033491780093312266,0.6953,0.7025784383248324,0.6952999999999999,0.6948642729036546
10,Centralized,Resnet18,0.03696484248638153,0.6954,0.705436016351318,0.6953999999999999,0.6954534993119175
11,Centralized,Resnet18,0.03557943162471056,0.7021,0.7047998703835603,0.7021,0.6993743939016746
12,Centralized,Resnet18,0.039948381486535074,0.6845,0.6878616038103632,0.6845000000000001,0.6825096061936596
13,Centralized,Resnet18,0.03945330805778503,0.6994,0.7058812248497289,0.6994,0.6999025401599456
14,Centralized,Resnet18,0.04172530799508095,0.6968,0.7006221466688022,0.6968,0.6963267276291518
15,Centralized,Resnet18,0.04011006141901016,0.7166,0.7169037938934046,0.7165999999999999,0.7158964752635487
16,Centralized,Resnet18,0.039286655023694037,0.7214,0.7212884190459282,0.7214,0.7198938431286408
17,Centralized,Resnet18,0.0408089272543788,0.7211,0.7247483935997483,0.7211,0.7212622748924105
18,Centralized,Resnet18,0.042993892058730124,0.7174,0.7228156818821143,0.7174,0.7191063541748421
19,Centralized,Resnet18,0.04317546189725399,0.7229,0.7235546670340893,0.7229,0.722710239673009
20,Centralized,Resnet18,0.04519381015896797,0.7122,0.7194144765496437,0.7122,0.7133267303535603
21,Centralized,Resnet18,0.048154539713263514,0.7163,0.7188292944910822,0.7163,0.7144720902514402
22,Centralized,Resnet18,0.045600902271270755,0.7171,0.7211218925768975,0.7171000000000001,0.7179802912530342
23,Centralized,Resnet18,0.0454144220083952,0.7276,0.7301186581598226,0.7276,0.7271565901189081
24,Centralized,Resnet18,0.051213487577438356,0.7112,0.7190033973930066,0.7112,0.7119942215496804
25,Centralized,Resnet18,0.04547030027806759,0.7326,0.7331756437109048,0.7325999999999999,0.7320563002311552
26,Centralized,Resnet18,0.05971093670725822,0.69,0.694062186772321,0.69,0.6855668026824688
27,Centralized,Resnet18,0.04960110004544258,0.7264,0.7271470767264778,0.7264,0.7251718357866084
28,Centralized,Resnet18,0.04919578915685415,0.7263,0.7309384605097186,0.7263,0.7277099261542791
29,Centralized,Resnet18,0.04803582527339458,0.7335,0.7379992055974226,0.7334999999999999,0.7345525492560723
30,Centralized,Resnet18,0.05768383458852768,0.7109,0.7150008090197686,0.7109,0.7068290988613105
31,Centralized,Resnet18,0.04842851661890745,0.733,0.7381848028110651,0.733,0.7337355703377277
32,Centralized,Resnet18,0.049114160597324374,0.7291,0.7288392893663358,0.7291,0.7281768885556211
33,Centralized,Resnet18,0.050622134894132614,0.732,0.7299443885891133,0.732,0.7303856154842908
34,Centralized,Resnet18,0.04977865667939186,0.7309,0.7305885210737194,0.7309,0.7303326787467658
35,Centralized,Resnet18,0.0510861899971962,0.7308,0.7346178136063093,0.7308,0.7310327974080523
36,Centralized,Resnet18,0.05013909977674484,0.7333,0.7332430085020962,0.7333000000000001,0.732285970817285
37,Centralized,Resnet18,0.05105502303391695,0.7393,0.7377206370604567,0.7393,0.7379964221335233
38,Centralized,Resnet18,0.05116414878964424,0.7362,0.7334783884411181,0.7362,0.734151630956832
39,Centralized,Resnet18,0.05152048980593681,0.7305,0.7341315643147447,0.7305,0.7315369983820441
40,Centralized,Resnet18,0.05432561953067779,0.7346,0.7354944005722842,0.7346,0.7328521422125075
41,Centralized,Resnet18,0.052479211202636364,0.7357,0.739733354434169,0.7357,0.7366394755314486
42,Centralized,Resnet18,0.050961192497611045,0.7353,0.73580339300523,0.7353,0.7347532788029381
43,Centralized,Resnet18,0.050867566600441935,0.7272,0.7307922582859172,0.7272000000000001,0.7277200207924206
44,Centralized,Resnet18,0.051311112923920155,0.7348,0.734951478024298,0.7348,0.7341650711490618
45,Centralized,Resnet18,0.05355200660005212,0.7326,0.7337687430166978,0.7326,0.7327289900174856
46,Centralized,Resnet18,0.05367775557935238,0.7338,0.7341586045741588,0.7337999999999999,0.7331502969770103
47,Centralized,Resnet18,0.05450162774920463,0.7292,0.7317015855858691,0.7292,0.7295012914601032
48,Centralized,Resnet18,0.05474517951011658,0.7326,0.7295421390367316,0.7326,0.7299348095842311
49,Centralized,Resnet18,0.054844096694886685,0.7301,0.7343782849087954,0.7301,0.7317487324661047
50,Centralized,Resnet18,0.05721669049859047,0.7241,0.7273405796078948,0.7241,0.7241404748699071
51,Centralized,Resnet18,0.05393554602079093,0.737,0.7393032902195167,0.737,0.7376507853408594
52,Centralized,Resnet18,0.052701372936367986,0.7386,0.739633706336676,0.7386,0.7384893027539577
53,Centralized,Resnet18,0.06114089957773686,0.7126,0.7219238510617583,0.7126000000000001,0.7118205931211182
54,Centralized,Resnet18,0.054023224511742594,0.7387,0.7380778630486856,0.7387,0.7378971003074433
55,Centralized,Resnet18,0.05450437205433845,0.7377,0.737735871952698,0.7377,0.736950205217356
56,Centralized,Resnet18,0.0542472019970417,0.7375,0.7383292580558776,0.7375,0.7372448660279577
57,Centralized,Resnet18,0.054833853274583816,0.7368,0.7382922556022921,0.7368,0.7367957342774718
