round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Densenet121,0.07228773217201233,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.06799999999999999,0.01611152902556164,0.06483214350841433,0.022355042879827182
2,Federated,Densenet121,0.07228642950057984,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.06999999999999999,0.017398525721717645,0.06931570567582927,0.023870063594484285
3,Federated,Densenet121,0.07228672504425049,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07239999999999999,0.03886337874346977,0.06872163861726746,0.025805993862123816
4,Federated,Densenet121,0.07228689181804657,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0648,0.036152485471010756,0.06227836800886934,0.022790483261870022
5,Federated,Densenet121,0.07228931856155396,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0756,0.02415212915815393,0.07496719041802731,0.027261683133089614
6,Federated,Densenet121,0.07228759531974792,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0756,0.024152129158153932,0.07496719041802731,0.027261683133089614
7,Federated,Densenet121,0.07228905801773071,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.068,0.01611152902556164,0.06483214350841433,0.022355042879827182
8,Federated,Densenet121,0.07228660283088684,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0708,0.037042897513228715,0.06946883790809506,0.024197686362663902
9,Federated,Densenet121,0.07228634297847748,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.06799999999999999,0.022946445303375716,0.06847317804221868,0.025645559124978845
10,Federated,Densenet121,0.07228659434318542,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07,0.04361886888260354,0.07037274196523838,0.026498757787570167
11,Federated,Densenet121,0.07228742344379425,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0632,0.021517583859386236,0.06340462560685375,0.023317682352806984
12,Federated,Densenet121,0.07228618843555451,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0756,0.02539666670905032,0.07461160102274693,0.028488763519823518
13,Federated,Densenet121,0.0722863881111145,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0704,0.022536796340263253,0.07117428801861285,0.02578915067121635
14,Federated,Densenet121,0.07228608515262604,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0684,0.03771321834312559,0.06707257555957077,0.024226401021835518
15,Federated,Densenet121,0.07228670716285705,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.064,0.04195508431324447,0.06371119440306972,0.024247849459700523
16,Federated,Densenet121,0.07228775818347931,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0636,0.016898930016064302,0.06458802136860108,0.02256034630172944
17,Federated,Densenet121,0.07228670818805695,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0724,0.03886337874346977,0.06872163861726746,0.025805993862123816
18,Federated,Densenet121,0.07228544490337371,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07440000000000001,0.039377002912484665,0.07373412312173945,0.026477309349705158
19,Federated,Densenet121,0.07228597543239594,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07160000000000001,0.02401625701652923,0.07241169375013623,0.026939262613648034
20,Federated,Densenet121,0.07228503510951996,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07239999999999999,0.017440285647154403,0.0715077896929929,0.02463819118874177
21,Federated,Densenet121,0.0722879457950592,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.064,0.015734741152358577,0.0626541581136606,0.02161915526661464
22,Federated,Densenet121,0.0722887178659439,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.06960000000000001,0.044783057746309266,0.07230660522017887,0.02743994882268496
23,Federated,Densenet121,0.07228571472167969,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0628,0.022681772723091954,0.06533848886179425,0.024258873387921782
24,Federated,Densenet121,0.07228987712860108,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0732,0.02454202198606035,0.07158372154062591,0.027359252475213945
25,Federated,Densenet121,0.07228811593055726,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0716,0.02377534128495087,0.07278920502327356,0.02652579551987707
26,Federated,Densenet121,0.07228448143005371,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.066,0.04244895234705331,0.06804132000653447,0.025160325835643704
27,Federated,Densenet121,0.07228492834568023,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0684,0.017063497773951337,0.06932980429823916,0.02390230357552923
28,Federated,Densenet121,0.07228539807796479,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0712,0.03738391806720379,0.0674842328857441,0.024655881919692132
29,Federated,Densenet121,0.07228597841262817,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07120000000000001,0.02491977401345054,0.07404070937720683,0.027708147443353714
30,Federated,Densenet121,0.07228687210083008,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0644,0.037336430469922535,0.06489459016481705,0.02349051340862298
31,Federated,Densenet121,0.07228736419677734,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0664,0.01658938587534855,0.06568203759578162,0.022748666311224214
32,Federated,Densenet121,0.0722890445947647,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.074,0.019039607281023153,0.07182046057630986,0.025591870706068887
33,Federated,Densenet121,0.07228398463726043,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.068,0.038145570316291635,0.06852825824486472,0.024611910691883045
34,Federated,Densenet121,0.07228413503170013,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0744,0.03909657491049421,0.07274691659286237,0.026546164032657877
35,Federated,Densenet121,0.0722846153497696,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.074,0.045240194306702994,0.07219513796471175,0.028461725787516608
36,Federated,Densenet121,0.07228694250583649,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0716,0.018445634424817593,0.06909742872205872,0.024634665866868435
37,Federated,Densenet121,0.07228656585216522,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0704,0.03898045890407555,0.07087377882597852,0.02598258262485446
38,Federated,Densenet121,0.07228669369220733,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0648,0.036152485471010756,0.06227836800886934,0.022790483261870022
39,Federated,Densenet121,0.07228792150020599,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0736,0.044879417617521865,0.07349738408605552,0.028244691118850217
40,Federated,Densenet121,0.07228568370342255,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0688,0.04471484985963482,0.06875560115641743,0.02690273384505042
41,Federated,Densenet121,0.07228718473911286,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07,0.04361886888260354,0.07037274196523839,0.026498757787570167
42,Federated,Densenet121,0.07228743124008179,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0688,0.01589930891024562,0.06739594104329868,0.022961112540414434
43,Federated,Densenet121,0.07228514823913575,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0656,0.022372228582376207,0.06643250508897476,0.024447193397416557
44,Federated,Densenet121,0.0722904114484787,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0636,0.04283884517495973,0.06465785112913311,0.025257895177768042
45,Federated,Densenet121,0.07228856375217438,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0724,0.04339995694125588,0.07225997835453213,0.027094579176418533
46,Federated,Densenet121,0.0722853359222412,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07,0.02344031333718456,0.07280330364568346,0.026558035500922023
47,Federated,Densenet121,0.07228749430179596,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0736,0.018678830591842024,0.07312270669765361,0.025374836037402492
48,Federated,Densenet121,0.07228508236408233,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.06720000000000001,0.037007130194000724,0.06530624749099037,0.023919994306479595
49,Federated,Densenet121,0.07228361620903015,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0696,0.039192679019391566,0.06830998129109414,0.0253765129642672
50,Federated,Densenet121,0.07228751013278961,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07520000000000002,0.0252965618866536,0.07621869477196057,0.028444035056566248
51,Federated,Densenet121,0.07228761553764343,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0724,0.03888313487867582,0.06940399751827468,0.025564832973761976
52,Federated,Densenet121,0.07228406434059143,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0656,0.022091800580385745,0.06544529856009766,0.024516048080369272
53,Federated,Densenet121,0.07228793926239013,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0656,0.022352472447170157,0.06575014618796754,0.024688354285778393
54,Federated,Densenet121,0.07228453669548035,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0664,0.024755206255563496,0.06929892644756874,0.026366190169553917
55,Federated,Densenet121,0.07228716161251068,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.072,0.02332323317657878,0.07065116343697242,0.026381446738191382
56,Federated,Densenet121,0.07228528892993927,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0724,0.03886337874346977,0.06872163861726746,0.025805993862123816
57,Federated,Densenet121,0.07228808808326721,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.07239999999999999,0.017460041782360457,0.07219014859400011,0.02439703030037993
58,Federated,Densenet121,0.07228693826198578,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0656,0.022091800580385745,0.06544529856009766,0.024516048080369272
59,Federated,Densenet121,0.07228748984336852,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0708,0.03781627004036983,0.06893991557103803,0.025041391589739663
60,Federated,Densenet121,0.07228564114570618,0.0729,0.021040377536159442,0.0729,0.025558616515533917,0.0684,0.038506347005472764,0.06722601212352095,0.024828945360549436
