round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Resnet34,0.07474386374950409,0.099,0.015895649453399035,0.099,0.020021733388189255,0.09359999999999999,0.04386447086536248,0.09936756377562332,0.021823990899173605
2,Federated,Resnet34,0.07814928364753723,0.1135,0.053428615073417826,0.1135,0.051476705347665644,0.10640000000000001,0.03665060046516139,0.10960285888846193,0.04795687587644123
3,Federated,Resnet34,0.07096854012012482,0.1653,0.2352777386950045,0.1653,0.0904037132889151,0.1516,0.1134373471819377,0.1560956994172649,0.08272566454786087
4,Federated,Resnet34,0.060212482237815855,0.2687,0.41470924062719094,0.2687,0.22606086769761288,0.2492,0.39410000860095323,0.255279281334501,0.2089565588467961
5,Federated,Resnet34,0.051235822784900666,0.4076,0.4428269585645399,0.40759999999999996,0.39779302798071947,0.38079999999999997,0.42046328131841976,0.3864851281142623,0.37251417209395177
6,Federated,Resnet34,0.048494002425670625,0.4349,0.48820553410883055,0.4349,0.43062103138453073,0.42519999999999997,0.4829904400650739,0.428343997413402,0.42246337627338226
7,Federated,Resnet34,0.04427676483392715,0.4853,0.5080123921058006,0.48529999999999995,0.48538760154720906,0.4732,0.49643907691374334,0.4750117071997272,0.47384938788635533
8,Federated,Resnet34,0.042133944314718244,0.5042,0.5340934295475162,0.5042,0.5050928915689195,0.49399999999999994,0.522244844482789,0.4961130978154823,0.4903540725635029
9,Federated,Resnet34,0.0405503453373909,0.5306,0.5445625427086705,0.5306000000000001,0.5301143373604678,0.5236,0.5403706319414365,0.5248010958471764,0.5250100071282358
10,Federated,Resnet34,0.03932851229310036,0.5468,0.5598113476643445,0.5468,0.5458393469180838,0.532,0.5457090924076594,0.5336704328493556,0.5327501745438117
11,Federated,Resnet34,0.03781856929063797,0.5614,0.565746703188888,0.5613999999999999,0.5582296680868317,0.562,0.5722369450342134,0.5638322023935478,0.5610805521269968
12,Federated,Resnet34,0.03683174579143524,0.5736,0.5826718840119783,0.5736000000000001,0.5744192825665368,0.5804,0.5930685444218645,0.5836130135420887,0.582444742914263
