round,Centralized,model,c_accuracy,d_accuracy
1,Federated,VGG16,0.1338,0.1316
2,Federated,VGG16,0.2367,0.22400000000000003
3,Federated,VGG16,0.2895,0.28040000000000004
4,Federated,VGG16,0.3379,0.3376
5,Federated,VGG16,0.3789,0.372
6,Federated,VGG16,0.4074,0.4084
7,Federated,VGG16,0.4362,0.4288
8,Federated,VGG16,0.4582,0.4344
9,Federated,VGG16,0.4837,0.4588
10,Federated,VGG16,0.5042,0.4816
11,Federated,VGG16,0.5228,0.4856
12,Federated,VGG16,0.5429,0.5168000000000001
13,Federated,VGG16,0.5586,0.5404
14,Federated,VGG16,0.5696,0.5548
15,Federated,VGG16,0.5875,0.5696
16,Federated,VGG16,0.5946,0.5768
17,Federated,VGG16,0.6045,0.5923999999999999
18,Federated,VGG16,0.6232,0.6132
19,Federated,VGG16,0.6316,0.62
20,Federated,VGG16,0.6417,0.6252000000000001
21,Federated,VGG16,0.6532,0.6424
22,Federated,VGG16,0.654,0.6468
23,Federated,VGG16,0.6676,0.6688000000000001
24,Federated,VGG16,0.6762,0.6684000000000001
25,Federated,VGG16,0.6869,0.6808
26,Federated,VGG16,0.6903,0.6859999999999999
27,Federated,VGG16,0.6997,0.6864
28,Federated,VGG16,0.6958,0.6952
29,Federated,VGG16,0.7073,0.7007999999999999
30,Federated,VGG16,0.7142,0.7003999999999999
31,Federated,VGG16,0.7213,0.704
32,Federated,VGG16,0.7215,0.7044
33,Federated,VGG16,0.7283,0.7132
34,Federated,VGG16,0.7313,0.7292
35,Federated,VGG16,0.7351,0.7312
36,Federated,VGG16,0.7393,0.7388
37,Federated,VGG16,0.7475,0.7275999999999999
38,Federated,VGG16,0.7481,0.7432000000000001
39,Federated,VGG16,0.7473,0.7424
40,Federated,VGG16,0.7531,0.7564
41,Federated,VGG16,0.7585,0.7464
42,Federated,VGG16,0.7561,0.7556
43,Federated,VGG16,0.7574,0.7492000000000001
44,Federated,VGG16,0.7618,0.7592000000000001
45,Federated,VGG16,0.7613,0.7508000000000001
46,Federated,VGG16,0.7683,0.7736
47,Federated,VGG16,0.767,0.7504
48,Federated,VGG16,0.7701,0.7672000000000001
49,Federated,VGG16,0.7693,0.7699999999999999
50,Federated,VGG16,0.7727,0.7692
51,Federated,VGG16,0.773,0.7744
52,Federated,VGG16,0.7724,0.766
53,Federated,VGG16,0.7721,0.7728
54,Federated,VGG16,0.7782,0.7756000000000001
55,Federated,VGG16,0.7766,0.7672000000000001
56,Federated,VGG16,0.7712,0.7724
57,Federated,VGG16,0.7751,0.7696
58,Federated,VGG16,0.7747,0.7736000000000001
59,Federated,VGG16,0.7792,0.7764000000000001
60,Federated,VGG16,0.7791,0.772
61,Federated,VGG16,0.778,0.7667999999999999
62,Federated,VGG16,0.7831,0.7752000000000001
63,Federated,VGG16,0.7773,0.7824
64,Federated,VGG16,0.7771,0.7748000000000002
65,Federated,VGG16,0.7787,0.7747999999999999
66,Federated,VGG16,0.7778,0.7827999999999999
67,Federated,VGG16,0.7783,0.7824
68,Federated,VGG16,0.786,0.7767999999999999
69,Federated,VGG16,0.7809,0.7744
70,Federated,VGG16,0.7785,0.7700000000000001
71,Federated,VGG16,0.7773,0.772
72,Federated,VGG16,0.7804,0.7816
73,Federated,VGG16,0.7798,0.784
74,Federated,VGG16,0.7803,0.776
75,Federated,VGG16,0.7787,0.7856000000000001
76,Federated,VGG16,0.7825,0.784
77,Federated,VGG16,0.7833,0.7807999999999999
78,Federated,VGG16,0.7815,0.7844000000000001
79,Federated,VGG16,0.7826,0.7812
80,Federated,VGG16,0.7832,0.786
81,Federated,VGG16,0.7832,0.776
82,Federated,VGG16,0.7821,0.7896000000000001
83,Federated,VGG16,0.7822,0.7796
84,Federated,VGG16,0.7819,0.7736000000000001
85,Federated,VGG16,0.7823,0.7848
86,Federated,VGG16,0.7824,0.788
87,Federated,VGG16,0.7823,0.7796000000000001
88,Federated,VGG16,0.7824,0.7816000000000001
89,Federated,VGG16,0.7821,0.776
90,Federated,VGG16,0.7817,0.7807999999999999
91,Federated,VGG16,0.7824,0.7788
92,Federated,VGG16,0.7817,0.7824
93,Federated,VGG16,0.7816,0.7752000000000001
94,Federated,VGG16,0.7819,0.7792
95,Federated,VGG16,0.7817,0.7788
96,Federated,VGG16,0.7819,0.7736000000000001
97,Federated,VGG16,0.7815,0.778
98,Federated,VGG16,0.7816,0.7788000000000002
99,Federated,VGG16,0.7819,0.7824
100,Federated,VGG16,0.782,0.774
