round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Mobilenet_v2,0.05468270599842071,0.3306,0.37875824562141214,0.3306,0.29956097236889767
2,Centralized,Mobilenet_v2,0.045533632254600526,0.4636,0.47376981506270727,0.4635999999999999,0.4526044655323023
3,Centralized,Mobilenet_v2,0.04248731330037117,0.4988,0.5251763632880208,0.4988,0.4839772423042703
4,Centralized,Mobilenet_v2,0.04108592309951782,0.519,0.5425965435941503,0.519,0.5144790206555596
5,Centralized,Mobilenet_v2,0.040860518157482144,0.534,0.5543547835441477,0.534,0.5311623900772505
6,Centralized,Mobilenet_v2,0.039364950585365294,0.5497,0.57915271543137,0.5497,0.5335787708128741
7,Centralized,Mobilenet_v2,0.036432804107666014,0.5895,0.6027741077863238,0.5895,0.5823911392662977
8,Centralized,Mobilenet_v2,0.03425291324853897,0.6093,0.6306300233856698,0.6093000000000001,0.6027714828804622
9,Centralized,Mobilenet_v2,0.03317989461421966,0.6357,0.6460545067996016,0.6356999999999999,0.6375961375126934
10,Centralized,Mobilenet_v2,0.032001824259758,0.6476,0.655269028124258,0.6476,0.6469993960803304
11,Centralized,Mobilenet_v2,0.032388765579462055,0.6404,0.6410179279143902,0.6404,0.6348561177268076
12,Centralized,Mobilenet_v2,0.030705993869900704,0.6574,0.6593746508691634,0.6574,0.6537183518654134
13,Centralized,Mobilenet_v2,0.031172533839941025,0.6559,0.6655989117559515,0.6559,0.656493746970987
14,Centralized,Mobilenet_v2,0.030071513816714288,0.6649,0.6740691408307491,0.6649,0.6657839659669806
15,Centralized,Mobilenet_v2,0.030731857106089593,0.6618,0.6692645843490646,0.6618,0.6606694080642175
16,Centralized,Mobilenet_v2,0.02949040818810463,0.6742,0.6804447661685677,0.6742000000000001,0.6728513622131149
17,Centralized,Mobilenet_v2,0.030544575560092924,0.6626,0.6796464322739221,0.6626000000000001,0.6636731563354878
18,Centralized,Mobilenet_v2,0.029490296226739883,0.6731,0.684456553120472,0.6731,0.6758885545582631
19,Centralized,Mobilenet_v2,0.02903508281707764,0.6806,0.681774872068127,0.6806,0.6762335850906742
20,Centralized,Mobilenet_v2,0.029007380098104475,0.6818,0.6941119466892538,0.6818000000000001,0.6833157755079423
21,Centralized,Mobilenet_v2,0.029174796640872955,0.6825,0.6874147286034985,0.6825,0.6837357174820891
22,Centralized,Mobilenet_v2,0.02864786597788334,0.6959,0.7020875273639821,0.6959000000000002,0.6952842485865576
23,Centralized,Mobilenet_v2,0.028993802618980408,0.6879,0.6901431272573145,0.6879000000000001,0.6863954470112178
24,Centralized,Mobilenet_v2,0.02827107740342617,0.6902,0.6927230164247951,0.6901999999999999,0.6890452457794511
25,Centralized,Mobilenet_v2,0.02829915047287941,0.693,0.6995290669046638,0.693,0.6951057983162892
26,Centralized,Mobilenet_v2,0.028255264845490454,0.6991,0.7018003690366945,0.6990999999999999,0.6983269678840585
27,Centralized,Mobilenet_v2,0.029893949031829833,0.6771,0.6860664708709641,0.6771,0.6774454448607238
28,Centralized,Mobilenet_v2,0.028204402843117714,0.7,0.7044296524198719,0.7,0.700834668203122
29,Centralized,Mobilenet_v2,0.02932718189060688,0.6924,0.7014844489815542,0.6924000000000001,0.69453731347844
30,Centralized,Mobilenet_v2,0.028967083543539048,0.6934,0.7046768815104197,0.6933999999999999,0.6956386206754328
31,Centralized,Mobilenet_v2,0.02973488037288189,0.6945,0.6999925632489011,0.6945000000000001,0.6945066686681939
32,Centralized,Mobilenet_v2,0.030921312001347543,0.6873,0.6983022577722708,0.6873000000000001,0.6882736628137859
33,Centralized,Mobilenet_v2,0.02973956372141838,0.699,0.7004635543930355,0.6990000000000001,0.6986008754366497
34,Centralized,Mobilenet_v2,0.029862019643187524,0.6906,0.6966756160867918,0.6906,0.6919078961195058
35,Centralized,Mobilenet_v2,0.031232618433237075,0.6897,0.6946596580085812,0.6897,0.6888193796658846
36,Centralized,Mobilenet_v2,0.03194119883477688,0.6866,0.7030084862272509,0.6866000000000001,0.6916161895207147
37,Centralized,Mobilenet_v2,0.030257427170872687,0.6962,0.7025032057714967,0.6962,0.6960617546667391
38,Centralized,Mobilenet_v2,0.031678685677051545,0.6897,0.6922970153499332,0.6897,0.6881430248331952
39,Centralized,Mobilenet_v2,0.031698209919035436,0.681,0.688470867953281,0.6809999999999999,0.6815330807591424
40,Centralized,Mobilenet_v2,0.032799547109007836,0.686,0.687066709681736,0.6859999999999999,0.6849827296344209
41,Centralized,Mobilenet_v2,0.03246857995390892,0.6903,0.696895060576229,0.6903,0.6924578422846082
42,Centralized,Mobilenet_v2,0.03130915102958679,0.7026,0.7095504624015312,0.7026000000000001,0.7044859048456863
43,Centralized,Mobilenet_v2,0.03326889736652374,0.6898,0.6933288094370531,0.6898000000000001,0.6900290302267641
44,Centralized,Mobilenet_v2,0.03464133762419224,0.6829,0.6961746937863506,0.6829,0.6826756464939461
45,Centralized,Mobilenet_v2,0.032759283861517906,0.6913,0.6919874774969321,0.6912999999999999,0.6905943340513073
46,Centralized,Mobilenet_v2,0.03468926141411066,0.6893,0.7025859884911098,0.6893,0.6921607725625468
47,Centralized,Mobilenet_v2,0.03355461625158787,0.6925,0.6993320017288542,0.6925000000000001,0.6932925991129796
48,Centralized,Mobilenet_v2,0.035228437656164166,0.6822,0.6925811939411324,0.6822,0.6839909053171962
49,Centralized,Mobilenet_v2,0.03581407993733883,0.6945,0.6913094072707741,0.6945,0.6916137805480371
50,Centralized,Mobilenet_v2,0.03556901551187038,0.6922,0.6978471707234337,0.6921999999999999,0.6934996411589357
51,Centralized,Mobilenet_v2,0.03483372159600258,0.702,0.7070062392916454,0.702,0.702443250949439
52,Centralized,Mobilenet_v2,0.0350133545845747,0.7022,0.7032670636201395,0.7022,0.7013057342570862
53,Centralized,Mobilenet_v2,0.03848402968049049,0.6868,0.699064583945095,0.6868,0.6871951737044569
54,Centralized,Mobilenet_v2,0.036121344700455665,0.6957,0.7009414913376322,0.6957,0.6967396988402809
55,Centralized,Mobilenet_v2,0.03699683711826801,0.7008,0.7035095463968948,0.7007999999999999,0.7011252805711299
56,Centralized,Mobilenet_v2,0.035133011174201964,0.6996,0.7033151068668856,0.6996,0.7008303885667477
57,Centralized,Mobilenet_v2,0.03614719627201557,0.6978,0.7017657642215582,0.6978,0.6982470812327819
58,Centralized,Mobilenet_v2,0.036499021071195605,0.7022,0.7058491247365806,0.7022,0.7031826015914291
59,Centralized,Mobilenet_v2,0.03741191446185112,0.6997,0.7019288063377485,0.6997,0.699612737445558
60,Centralized,Mobilenet_v2,0.040168308889865875,0.6798,0.6904847027589252,0.6798,0.6816753646161813
61,Centralized,Mobilenet_v2,0.0373668210580945,0.6951,0.7020137069125758,0.6951,0.6962333231037199
62,Centralized,Mobilenet_v2,0.03901166579127312,0.6982,0.7019269154671678,0.6982,0.6988009592787571
63,Centralized,Mobilenet_v2,0.03992126987427473,0.6856,0.6922410883625774,0.6855999999999999,0.6859267389847281
64,Centralized,Mobilenet_v2,0.03950074358582497,0.6941,0.6937036051927774,0.6941,0.6923381825507373
65,Centralized,Mobilenet_v2,0.03957686793804169,0.69,0.6962482364884768,0.6900000000000001,0.6923576306958867
66,Centralized,Mobilenet_v2,0.041374136507511136,0.69,0.6962158152115139,0.6900000000000001,0.6892778254095633
67,Centralized,Mobilenet_v2,0.038970663399994374,0.6948,0.7034193614141885,0.6948,0.6972002182504713
68,Centralized,Mobilenet_v2,0.03881205017566681,0.6998,0.7068912491694213,0.6998,0.7012208855430929
69,Centralized,Mobilenet_v2,0.03818909073472023,0.7081,0.7114667484794132,0.7081,0.7087674024051059
70,Centralized,Mobilenet_v2,0.041495871007442474,0.6902,0.7031032283231108,0.6902,0.6927482840959573
71,Centralized,Mobilenet_v2,0.03817568902671337,0.6993,0.70123432131577,0.6993,0.6990530194910335
72,Centralized,Mobilenet_v2,0.04006899120211601,0.7022,0.7112279500709959,0.7022,0.7054359078973935
73,Centralized,Mobilenet_v2,0.04173613528311253,0.6938,0.6962299777307968,0.6938,0.6928591091633409
74,Centralized,Mobilenet_v2,0.041122998437285424,0.7005,0.708417138311751,0.7005,0.7011119587873278
75,Centralized,Mobilenet_v2,0.040762992063164714,0.7031,0.7069754009517741,0.7031,0.7045166199569957
76,Centralized,Mobilenet_v2,0.038900777891278264,0.7065,0.7101450766315818,0.7065,0.7077918804544296
77,Centralized,Mobilenet_v2,0.04584256003201008,0.6833,0.6938818469759108,0.6833,0.6857168640258873
78,Centralized,Mobilenet_v2,0.04114170680344105,0.7001,0.7046366711581445,0.7001000000000001,0.701712835738739
79,Centralized,Mobilenet_v2,0.04088483891487121,0.7045,0.7077490882369468,0.7045000000000001,0.7054342194285659
80,Centralized,Mobilenet_v2,0.04486109812855721,0.6967,0.7050197193551684,0.6967000000000001,0.6987180254931828
81,Centralized,Mobilenet_v2,0.04223941968083381,0.6954,0.7013635349109162,0.6954,0.6961976070551466
82,Centralized,Mobilenet_v2,0.042188574013113975,0.704,0.7112303994495294,0.704,0.7066938408316392
83,Centralized,Mobilenet_v2,0.04314377593696117,0.6964,0.6983425387105119,0.6964,0.6961885595014363
84,Centralized,Mobilenet_v2,0.04122090685963631,0.706,0.7116539531477268,0.7060000000000001,0.706888318767246
85,Centralized,Mobilenet_v2,0.04251932316869497,0.7027,0.7061283057378973,0.7027,0.7039320715126985
86,Centralized,Mobilenet_v2,0.04290976243615151,0.7058,0.7137596632819381,0.7058000000000001,0.7079701601356262
87,Centralized,Mobilenet_v2,0.041856932294368744,0.7083,0.7146833807741457,0.7083,0.710760228767263
