round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,VGG11,0.042950380092859265,0.4925,0.5208654824143188,0.4925,0.48207843872466566
2,Centralized,VGG11,0.03411704364418983,0.6138,0.6231525889075109,0.6138000000000001,0.6009316053165369
3,Centralized,VGG11,0.033360349881649015,0.6397,0.6658559783756013,0.6397,0.6310163829616214
4,Centralized,VGG11,0.026270927390456198,0.7081,0.72034157583154,0.7081,0.7072227659557029
5,Centralized,VGG11,0.02762809905409813,0.6998,0.728404137660462,0.6998,0.6981404617136273
6,Centralized,VGG11,0.026462169405817984,0.7239,0.7526033947162569,0.7239000000000001,0.7226061813347083
7,Centralized,VGG11,0.024815412198007106,0.7533,0.7610815027086002,0.7533000000000001,0.7517189899378567
8,Centralized,VGG11,0.03286978097856045,0.7144,0.7397187746882298,0.7144,0.7071955216914872
9,Centralized,VGG11,0.026160345230251552,0.7539,0.7562670022499958,0.7539,0.7516591261509797
10,Centralized,VGG11,0.03163534625470638,0.7407,0.7418362851155299,0.7407,0.7313762313630965
11,Centralized,VGG11,0.030151281566917897,0.7533,0.763972687853461,0.7533,0.7538775700553567
12,Centralized,VGG11,0.03036018056124449,0.7507,0.7681266796678786,0.7507,0.7551040964561957
13,Centralized,VGG11,0.035625381979346275,0.7346,0.7550138293222537,0.7346000000000001,0.7343340877024443
14,Centralized,VGG11,0.036819883486628534,0.7435,0.7573527627422694,0.7434999999999999,0.7440742066894657
15,Centralized,VGG11,0.04104920787215233,0.7453,0.7716622878267034,0.7453000000000001,0.7431858973150746
16,Centralized,VGG11,0.03389588434547186,0.7705,0.7758689845953921,0.7705,0.7717256290660204
17,Centralized,VGG11,0.03596890499740839,0.7668,0.7699320259977442,0.7667999999999999,0.7658614907056503
18,Centralized,VGG11,0.04227330746054649,0.7502,0.7577857188370081,0.7502,0.7478480886401162
19,Centralized,VGG11,0.039455004501342775,0.7591,0.7710665438659874,0.7591,0.759822159129465
20,Centralized,VGG11,0.036779127541184425,0.767,0.7763081748332942,0.767,0.7690094276510968
21,Centralized,VGG11,0.03569253128767014,0.7707,0.7719015242502396,0.7707,0.7681374444389767
