round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Densenet121,0.06164156804084778,0.2769,0.3238304957024391,0.27690000000000003,0.27947549270483335,0.2676,0.30807477490415974,0.2698685754359941,0.2671604206349166
2,Federated,Densenet121,0.05457586913108826,0.3513,0.38592838339749147,0.35130000000000006,0.34251046371118693,0.33,0.3663016953683656,0.3353419553975004,0.3232448383592803
3,Federated,Densenet121,0.050427274143695834,0.4065,0.42834681772754896,0.40650000000000003,0.40850861259609267,0.3964,0.4232438787435274,0.40057887603123393,0.39878202635357024
4,Federated,Densenet121,0.047800032126903536,0.4385,0.45429370711784783,0.4385,0.4376046748944121,0.4124,0.42875435686259084,0.41298085457718037,0.4122245384924123
5,Federated,Densenet121,0.04517523181438446,0.4668,0.48046501160713556,0.4668,0.4648622714891286,0.4476,0.4625892189311192,0.45047411422865313,0.4481491774090828
6,Federated,Densenet121,0.043213019323349,0.4948,0.506034664973598,0.4948,0.49624588108973056,0.46959999999999996,0.4888364818176004,0.47412801920043923,0.4732662815291837
7,Federated,Densenet121,0.04167401785850525,0.5119,0.5215407434843973,0.5119,0.5115916466865593,0.5012,0.5097113390424467,0.500260572989004,0.4989893565542383
8,Federated,Densenet121,0.04066664335131645,0.5248,0.5410408704082681,0.5248,0.5253882714020275,0.508,0.5290018294028566,0.5120817414804489,0.5081798663391975
9,Federated,Densenet121,0.03908124652504921,0.545,0.5517316129416125,0.545,0.5451484834450391,0.532,0.5425192889743176,0.5370319301418007,0.5332448437939069
10,Federated,Densenet121,0.03804744884967804,0.56,0.5611451806802343,0.56,0.5590033062565448,0.5484,0.5529781958000182,0.5526790970193642,0.548501536540693
11,Federated,Densenet121,0.037318672585487364,0.5623,0.5681522106707422,0.5622999999999999,0.5620076049532633,0.5508,0.5588809901056788,0.5566729445433496,0.5513986330155103
12,Federated,Densenet121,0.03605853424072265,0.5819,0.5831057514786555,0.5819,0.5808129796246517,0.5836,0.5860845225263678,0.5861217069101669,0.5820165401505644
13,Federated,Densenet121,0.035563482582569125,0.5914,0.5927019203680601,0.5914,0.5885325742636802,0.5820000000000001,0.5870031004098188,0.5845070818778512,0.5786073909136082
14,Federated,Densenet121,0.035233050817251206,0.5922,0.5999090468758281,0.5922,0.5926981697368964,0.594,0.6011464851784913,0.5958616821947796,0.5941539068898916
15,Federated,Densenet121,0.03421029249429703,0.6081,0.6083938644544324,0.6081000000000001,0.6068909615221034,0.5896,0.5952476136523973,0.5963683519231957,0.5910167122252892
16,Federated,Densenet121,0.03360549454689026,0.6182,0.6179906227890786,0.6182000000000001,0.6167246834252944,0.6020000000000001,0.604006060302124,0.6054166308865436,0.6010412011867723
17,Federated,Densenet121,0.033283808159828183,0.6183,0.625023372702769,0.6183,0.6194125758983935,0.6088,0.6185080752419646,0.6146664889192467,0.6119179965865088
18,Federated,Densenet121,0.032405360162258146,0.6312,0.634070987625497,0.6312,0.6313665993824058,0.6092,0.6191517759347971,0.6161054250306701,0.6124073029870449
19,Federated,Densenet121,0.032080135202407836,0.6335,0.6355537253042083,0.6335,0.6333496576495443,0.6248,0.6308396448847546,0.6254007904733733,0.6251412474824374
20,Federated,Densenet121,0.03150459480881691,0.6427,0.6417334338268421,0.6427,0.6405482401535962,0.6308,0.6321315726178857,0.634174039654974,0.6294249343950897
21,Federated,Densenet121,0.03128318776488304,0.6437,0.6459209939259198,0.6436999999999999,0.6426035711671092,0.6424000000000001,0.6435769624401979,0.6419079534630232,0.640389484622987
22,Federated,Densenet121,0.031013157206773757,0.6461,0.6472248163223466,0.6460999999999999,0.6456600397167147,0.6352,0.6376405374796948,0.6384920531729319,0.6349004671533309
23,Federated,Densenet121,0.03075798344016075,0.6486,0.6529022027245783,0.6486000000000001,0.6486526408870265,0.6388,0.6457713715909706,0.6429671017879617,0.6387828965739154
24,Federated,Densenet121,0.03041945706307888,0.6534,0.655278072913365,0.6534,0.65294453138917,0.644,0.6479357271536562,0.6453370848187076,0.6438405029541815
25,Federated,Densenet121,0.030100346356630326,0.6614,0.6625652903122135,0.6614,0.660699268438054,0.6512,0.6563161000125046,0.6569593084785671,0.6518734030704305
26,Federated,Densenet121,0.029788252288103105,0.6642,0.6654224786119494,0.6641999999999999,0.6640754331035026,0.6552,0.6599321775681981,0.6573657810238155,0.6551394124732074
27,Federated,Densenet121,0.03016818432211876,0.663,0.6658814204060022,0.663,0.6618017865388683,0.6816,0.6864363870368559,0.6851908297457303,0.68163747913659
28,Federated,Densenet121,0.029571697613596917,0.6698,0.6710312851154191,0.6698,0.6698914436608299,0.674,0.6736222556828341,0.6726044734596165,0.6705325168070008
29,Federated,Densenet121,0.029333842343091963,0.674,0.6750043593965979,0.6739999999999999,0.6738942761950947,0.6588,0.6592891980182871,0.6597269736748874,0.656761953258376
30,Federated,Densenet121,0.029310083803534507,0.6702,0.6714537149275126,0.6702,0.6699277724889322,0.6708,0.6729737976609427,0.6718389653834439,0.6699220139825199
31,Federated,Densenet121,0.029168188631534576,0.6759,0.6748928188215559,0.6759,0.6742172712469781,0.6696000000000001,0.6742174081425032,0.6750458640026824,0.6704468772217155
32,Federated,Densenet121,0.029084508684277536,0.6751,0.6761968420454815,0.6751,0.6749204843084085,0.6668000000000001,0.6692367633467742,0.668304816679289,0.666270545870162
33,Federated,Densenet121,0.029155891013145446,0.6729,0.6760817121527836,0.6728999999999999,0.6735630045431318,0.6792,0.6857014246283109,0.6813787352104678,0.6805159534909981
34,Federated,Densenet121,0.02888921991288662,0.6781,0.6784652449012094,0.6781,0.6776111664858393,0.678,0.6790908346799212,0.6775931062184734,0.676197019425328
35,Federated,Densenet121,0.02855149161219597,0.6822,0.6822905588863553,0.6822,0.681754688758725,0.6824,0.6846470354463204,0.6840016953328399,0.6814875739207423
36,Federated,Densenet121,0.028638141840696334,0.6832,0.6839418835003521,0.6832,0.6826867542974767,0.6696,0.6735267189135753,0.6704231942883621,0.6678624375404478
37,Federated,Densenet121,0.028858006316423417,0.6824,0.6841891064623921,0.6824,0.6822978482505074,0.692,0.6973184296240116,0.6961002264792339,0.6937373474791713
38,Federated,Densenet121,0.02868383675813675,0.6902,0.6894059503540823,0.6901999999999999,0.6889569181707881,0.6699999999999999,0.6724882899702358,0.6727161778328931,0.6691968278719803
39,Federated,Densenet121,0.02910409736931324,0.6867,0.6897145754107916,0.6867,0.6866257122747219,0.6848000000000001,0.6910128896062637,0.689788991205997,0.6867658977840734
40,Federated,Densenet121,0.029048410895466805,0.6861,0.6888388092230882,0.6861,0.6861073543737698,0.6852,0.694914929767853,0.6871252584142322,0.685672108114619
41,Federated,Densenet121,0.02879102121591568,0.6943,0.6945574288820643,0.6943,0.6940138018978403,0.6804,0.6855546951942808,0.6826815298920575,0.6807731864510652
42,Federated,Densenet121,0.028599427404999732,0.6955,0.6964142370639694,0.6955,0.6955707988469841,0.6859999999999999,0.6898496415757448,0.6891252778400742,0.6873926731085882
43,Federated,Densenet121,0.028890628388524055,0.6962,0.69743274689179,0.6961999999999999,0.6956952304959396,0.6772,0.6786625144249101,0.6753021038323583,0.6733743810055325
44,Federated,Densenet121,0.028903260725736617,0.6945,0.6947151109779812,0.6945,0.6943799245921265,0.6888,0.6905042438373938,0.689593580531574,0.6873566991546278
45,Federated,Densenet121,0.028981544682383537,0.7005,0.700629664925461,0.7004999999999999,0.6996077579387443,0.6868,0.6887214977717095,0.6840856853188908,0.6826983457608964
46,Federated,Densenet121,0.029194236704707145,0.6942,0.6939838687043692,0.6941999999999999,0.6933133686975117,0.6839999999999999,0.687011094427276,0.6875779606183414,0.6844696257347239
47,Federated,Densenet121,0.02929534712731838,0.6966,0.6996306146142152,0.6966,0.6973427374167523,0.6780000000000002,0.6828040145092937,0.6773770645840422,0.6776042664181128
