round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Mobilenet_v2,0.07250784947872162,0.1,0.01,0.1,0.01818181818181818,0.10400000000000001,0.010400000000000001,0.1,0.01883395516865057
2,Federated,Mobilenet_v2,0.07289866764545441,0.1,0.01,0.1,0.01818181818181818,0.1008,0.01008,0.1,0.018279381079612505
3,Federated,Mobilenet_v2,0.07334845416545868,0.1,0.01,0.1,0.01818181818181818,0.1044,0.01044,0.1,0.018896393396435295
4,Federated,Mobilenet_v2,0.07609141721725464,0.1,0.01,0.1,0.01818181818181818,0.1072,0.01072,0.1,0.01935600196213438
5,Federated,Mobilenet_v2,0.07917105712890625,0.1,0.01,0.1,0.01818181818181818,0.10200000000000001,0.0102,0.1,0.018504140645156784
6,Federated,Mobilenet_v2,0.08436506063938141,0.1112,0.032106190565243116,0.11120000000000001,0.04036762377446669,0.11320000000000001,0.030529502399329195,0.10928452065315819,0.03841596847880863
7,Federated,Mobilenet_v2,0.08620518951416016,0.1098,0.027368903026797765,0.10980000000000001,0.04247835225510395,0.11040000000000001,0.026106992073977014,0.10759935660225076,0.040854890922639005
8,Federated,Mobilenet_v2,0.08563839838504791,0.1025,0.07369699699893015,0.1025,0.024547504194044355,0.096,0.01571945868727386,0.09996825396825397,0.02014992673653566
9,Federated,Mobilenet_v2,0.07723334064483643,0.1253,0.15690099686241657,0.1253,0.061963480567163685,0.1268,0.15414152277995036,0.12527332989712153,0.0634088446862208
10,Federated,Mobilenet_v2,0.06721268770694733,0.2023,0.261909273614601,0.2023,0.164080145777381,0.19,0.19607301226694318,0.1878597180606664,0.15294727612078857
11,Federated,Mobilenet_v2,0.06387683242559433,0.2348,0.3102022341138604,0.23479999999999998,0.2105804433821777,0.21200000000000002,0.24407598876767667,0.21486141301770417,0.1938187642021045
12,Federated,Mobilenet_v2,0.05736780883073807,0.318,0.3545655574236033,0.31799999999999995,0.2977005310712225,0.3016,0.32612414843373544,0.29977278258037704,0.2787512254015578
13,Federated,Mobilenet_v2,0.05479856122732162,0.347,0.4048410735196704,0.347,0.3266250063943861,0.3336,0.4006341723347804,0.3377605323413123,0.3179043598588071
14,Federated,Mobilenet_v2,0.05339606567621231,0.3546,0.43312445517735443,0.35459999999999997,0.33958413695167533,0.3388,0.4041195942942462,0.3386748977408978,0.31890671178796826
15,Federated,Mobilenet_v2,0.05081249829530716,0.3954,0.440260575740442,0.3954,0.3808569728315129,0.38519999999999993,0.4340477238732725,0.385945079031756,0.3726471474559103
16,Federated,Mobilenet_v2,0.0493323703289032,0.4168,0.4509466292176823,0.4168,0.4098709035656771,0.40680000000000005,0.44761221013419245,0.4100101933793174,0.4019453165624668
17,Federated,Mobilenet_v2,0.047662060546875,0.4404,0.46635035209916154,0.4404,0.44007527496710824,0.43200000000000005,0.4640682864408152,0.4333688392463683,0.4322617792640207
18,Federated,Mobilenet_v2,0.04651331309080124,0.4508,0.4664748222585645,0.4508,0.4465917434890284,0.4488,0.4738442219079305,0.45236727607250976,0.4453033721420111
19,Federated,Mobilenet_v2,0.045358370745182036,0.4765,0.4852966930266634,0.47650000000000003,0.4758673083348743,0.4636,0.4735767749445564,0.4643151645389896,0.46252240835285463
20,Federated,Mobilenet_v2,0.044676649487018584,0.4829,0.49678597680786274,0.4829,0.4850135505328468,0.4683999999999999,0.48830384869335297,0.4714943156846145,0.4719785348777066
21,Federated,Mobilenet_v2,0.044265964484214784,0.4829,0.5010853766675814,0.48290000000000005,0.48394319360552157,0.4784,0.49930982893494325,0.4819933536636306,0.4767293239378637
22,Federated,Mobilenet_v2,0.04337964961528778,0.4962,0.5103156422959338,0.4962,0.49552730197197203,0.48319999999999996,0.5017929090572454,0.48361375062914974,0.48453545373687545
