round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Resnet50,0.07433957588672638,0.0997,0.012563098648833013,0.0997,0.01836601709499574,0.10640000000000001,0.02128603255839163,0.09917433235347568,0.020375812030539134
2,Federated,Resnet50,0.07388854999542237,0.1,0.01,0.1,0.01818181818181818,0.1012,0.01012,0.1,0.018372900328856058
3,Federated,Resnet50,0.07741042301654816,0.1,0.01,0.1,0.01818181818181818,0.10400000000000001,0.010399999999999998,0.1,0.01880147212556591
4,Federated,Resnet50,0.07657763862609863,0.1156,0.044814150011226586,0.1156,0.05044857674362281,0.11679999999999999,0.06021341920903517,0.11511751963837717,0.05021173386372535
5,Federated,Resnet50,0.07802148144245148,0.1289,0.11641957792416506,0.1289,0.0633272801958433,0.13720000000000002,0.08186853026661864,0.13208631300795723,0.06556252378752471
6,Federated,Resnet50,0.07153547862768173,0.1502,0.2840145424949335,0.1502,0.09936852633796572,0.14679999999999999,0.2287148007164633,0.1436900361662812,0.09115998477630508
7,Federated,Resnet50,0.06443274463415145,0.2198,0.44419567840907553,0.2198,0.1719802218308732,0.2156,0.33660501351923106,0.21423650202491995,0.17053020638610022
8,Federated,Resnet50,0.05956069751977921,0.282,0.434852230180074,0.282,0.2567544447014002,0.274,0.4274758141339312,0.27568966639835,0.2487414711374664
9,Federated,Resnet50,0.05554292387962341,0.3349,0.46494009065212627,0.3349,0.30447665016727476,0.3304,0.4764787469162017,0.3242244259465255,0.2979814455980135
10,Federated,Resnet50,0.05103421976566315,0.4063,0.4425925962674103,0.4063,0.396065791269298,0.3848,0.4266355244397634,0.38907120450209576,0.37925860871923855
11,Federated,Resnet50,0.04998701434135437,0.417,0.46439777706859403,0.417,0.40528286704913175,0.41800000000000004,0.4651096030588321,0.41328942474105934,0.4055381640601026
12,Federated,Resnet50,0.04771697982549667,0.4563,0.4767698426766442,0.45630000000000004,0.45276776606389824,0.4412,0.4719981210003616,0.4413379555147685,0.4408679061652371
13,Federated,Resnet50,0.046091088962554934,0.4722,0.49834628823103316,0.47220000000000006,0.46718682053152866,0.4468,0.47722357354053085,0.4508706906489673,0.4441036699463295
14,Federated,Resnet50,0.045076251935958864,0.4801,0.5079754995286281,0.4801,0.4754751505736869,0.4704,0.5075225513561031,0.4723304720585998,0.4639247057719558
15,Federated,Resnet50,0.044071356868743895,0.4966,0.5253857045886935,0.49659999999999993,0.49774219462082386,0.48319999999999996,0.5198517565963398,0.4880878305924548,0.48290991241152037
16,Federated,Resnet50,0.04307751532196999,0.5036,0.5325538910602987,0.5036,0.5016602877291646,0.4972,0.5383340552812336,0.4959536858617006,0.4974381070004391
17,Federated,Resnet50,0.042621067821979525,0.5151,0.5422188515127685,0.5151000000000001,0.5142670831956362,0.5055999999999999,0.5399222484799824,0.5076334151554697,0.5053261562012462
18,Federated,Resnet50,0.0416616965174675,0.5324,0.5414343113359574,0.5324000000000001,0.5332907189047144,0.5184,0.5362515911083002,0.5208534897260725,0.5218602954482858
