round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG11,0.06582009819746018,0.2401,0.15594124337974496,0.24010000000000004,0.17073606286021747,0.244,0.16131386953152688,0.23696306189011937,0.1712813102584439
2,Federated,VGG11,0.05915206583738327,0.2959,0.331010264204109,0.2959,0.24106817202827946,0.27480000000000004,0.23751276761247345,0.2796364186522555,0.22655000463058078
3,Federated,VGG11,0.05421921534538269,0.3448,0.4869613442952014,0.34480000000000005,0.28813762847058166,0.34,0.30358097591773975,0.33721017282969445,0.27958625151386796
4,Federated,VGG11,0.05028344119787216,0.3904,0.38601931925966715,0.39039999999999997,0.3414868228753898,0.37679999999999997,0.37920276270847086,0.37969267172748744,0.3311279687052125
5,Federated,VGG11,0.04730041152238846,0.4349,0.4244169967180208,0.4349,0.40489520133366386,0.4332000000000001,0.41711774779264593,0.4328501459438785,0.4022101694326451
6,Federated,VGG11,0.044686580967903136,0.4657,0.4562623825393617,0.4657,0.4492285742366294,0.4452,0.43855337163570846,0.45107754713884124,0.43191940336956297
7,Federated,VGG11,0.043201270622015,0.4872,0.48160168877304993,0.48719999999999997,0.47217758707451846,0.45999999999999996,0.45274536867506693,0.4628502186047834,0.4442635961276422
8,Federated,VGG11,0.041165532326698305,0.5167,0.5119052878144914,0.5166999999999999,0.5026770886648554,0.5076,0.4996719694704449,0.50317209759574,0.491557324472229
9,Federated,VGG11,0.03948780528903008,0.5366,0.535411738577755,0.5366000000000001,0.5285221590826954,0.528,0.5274501213066388,0.5316766197803376,0.5222121601603542
10,Federated,VGG11,0.03783637329936027,0.5598,0.5527254075634116,0.5598,0.5518542553803846,0.548,0.5439607219408295,0.5480056762909321,0.5424562991520206
11,Federated,VGG11,0.03667455126643181,0.5728,0.5627307931014468,0.5728000000000001,0.5630686954656553,0.5683999999999999,0.5592786628149826,0.5676972091649354,0.5585226740483324
12,Federated,VGG11,0.0359689527630806,0.5815,0.5781354705400019,0.5814999999999999,0.571929139762781,0.5731999999999999,0.5673030281220423,0.5724256922392321,0.5617805922764715
13,Federated,VGG11,0.03513868898749351,0.5838,0.5924395196726315,0.5837999999999999,0.5793020587354166,0.5768,0.5853511645703896,0.5770976596082769,0.5715664500894009
14,Federated,VGG11,0.03376326079368591,0.6093,0.6090299167446,0.6093,0.6051538785567636,0.5940000000000001,0.5926335799853422,0.5962802913292987,0.5896940984660122
15,Federated,VGG11,0.03274217236042023,0.6225,0.6162702513771902,0.6224999999999999,0.6153345527145083,0.6048,0.6052881151286856,0.6123457613975136,0.6017486671502554
16,Federated,VGG11,0.032164408034086225,0.6285,0.6279497661772234,0.6285000000000001,0.6217930977019513,0.6248,0.624820365479056,0.6255001724366023,0.6174175128102558
17,Federated,VGG11,0.03081212187409401,0.6484,0.6412146101642302,0.6484000000000001,0.6417798527001575,0.6444,0.6361928451515068,0.6481475579982097,0.636160881041548
18,Federated,VGG11,0.03065806911289692,0.6502,0.6489839534293155,0.6502,0.645616425226001,0.6464000000000001,0.6411459755907629,0.6445640232376821,0.6391148581261492
19,Federated,VGG11,0.029944626957178117,0.6592,0.6600624370620336,0.6592,0.6535045064043148,0.6408,0.6423776398092291,0.6427009632662556,0.6367813793287749
20,Federated,VGG11,0.028844975131750106,0.6733,0.6697368137926255,0.6733,0.6694542031569631,0.6648000000000001,0.657287609819812,0.663446695596445,0.6581262464143596
21,Federated,VGG11,0.02832066875398159,0.6776,0.6794796747699582,0.6776,0.6759991850557959,0.6696,0.6708136435310381,0.6698500904992427,0.6664724452509352
22,Federated,VGG11,0.02773130102157593,0.6895,0.6856684798595509,0.6895,0.6839869311838196,0.6759999999999999,0.6734294366883182,0.6790943399733559,0.6716843357006115
23,Federated,VGG11,0.027329614821076393,0.6934,0.6913022456317819,0.6933999999999999,0.690949162976818,0.6928,0.6914192799701653,0.6936139625410714,0.6896068179149074
24,Federated,VGG11,0.027028322327136995,0.7008,0.6964450025967737,0.7008000000000001,0.6961247118972266,0.6940000000000001,0.6926264130977093,0.6975761722294587,0.6899522321437781
25,Federated,VGG11,0.026539237725734712,0.7073,0.7091864547190492,0.7073,0.7048852366749964,0.6972,0.7028872864996145,0.7015491379800076,0.6968724236018742
26,Federated,VGG11,0.02577204913198948,0.7154,0.7122910239537922,0.7154,0.7112996930875971,0.7184,0.7191960251375011,0.7208366213599439,0.7150561533540026
27,Federated,VGG11,0.025673953300714494,0.7156,0.711674275039978,0.7156,0.7113843028100402,0.7072,0.7091704979163742,0.7153732528624239,0.7065277398738283
28,Federated,VGG11,0.02502366907298565,0.7244,0.7223077133603675,0.7243999999999999,0.7218193896311619,0.7071999999999999,0.705214812187086,0.712853585534098,0.7054040693979893
29,Federated,VGG11,0.024979995647072793,0.7319,0.7283522451417742,0.7318999999999999,0.7276747766456916,0.7180000000000001,0.7152365912012657,0.7242397459617288,0.7147963757796828
30,Federated,VGG11,0.024568866562843322,0.7341,0.7319863807291899,0.7341,0.7312898986710075,0.7296000000000001,0.7274229750399362,0.7342892258637393,0.7262960077904262
31,Federated,VGG11,0.024225400894880296,0.7337,0.7304792503758584,0.7337,0.730603701383119,0.716,0.7163218500958559,0.7242046178436748,0.7161378696396319
32,Federated,VGG11,0.02409782987833023,0.741,0.7404528365394841,0.741,0.7396926803801138,0.7332000000000001,0.7363230521088555,0.7403037703067976,0.735231486353181
33,Federated,VGG11,0.024402288860082628,0.7417,0.7385116161707057,0.7417,0.7376338624224547,0.7291999999999998,0.7303178685820737,0.7313999408648281,0.7255740015288107
34,Federated,VGG11,0.02397375910282135,0.7473,0.7448834828777582,0.7473,0.7435443456827058,0.7556,0.7548061025181211,0.7569734376316839,0.752624723098908
35,Federated,VGG11,0.023961045075953008,0.7504,0.7497163835613134,0.7504,0.7488822853179197,0.734,0.7363301123922584,0.7374110659088166,0.7331120692290163
36,Federated,VGG11,0.024364617162942886,0.7483,0.7496271139579278,0.7483000000000001,0.7458570111935141,0.734,0.7396083624838087,0.7384937413759213,0.7345596813445888
37,Federated,VGG11,0.023806658691167833,0.7513,0.7492514180481781,0.7513,0.7486507132954328,0.7508000000000001,0.7513645490168677,0.7522344617601118,0.7473934321515036
38,Federated,VGG11,0.023920773674547674,0.7519,0.7494491650972555,0.7519,0.7494504772714946,0.744,0.742864900454866,0.7451891115828422,0.7410849641292431
39,Federated,VGG11,0.023885227751731873,0.7562,0.7566707849322039,0.7562,0.7550452565367763,0.7544000000000001,0.7578436833686883,0.7587835600332807,0.7549703909421972
40,Federated,VGG11,0.023945824106037617,0.7576,0.7545571401519146,0.7576,0.754513159557939,0.7472,0.7471705461024978,0.750183386288165,0.7459354141196222
41,Federated,VGG11,0.023882093048095705,0.7552,0.7555908108344591,0.7552,0.7534482772207143,0.75,0.7543928018962373,0.755277167970584,0.7502315715666773
