round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Googlenet,0.11916935153007507,0.112,0.0998608603137353,0.11199999999999999,0.07841822280835341
2,Centralized,Googlenet,0.11176941628456116,0.1457,0.12674753434241023,0.1457,0.11378934780681073
3,Centralized,Googlenet,0.10008720619678498,0.199,0.2259117616514956,0.19899999999999998,0.17693682788772325
4,Centralized,Googlenet,0.0931354147195816,0.2449,0.28233679998054895,0.2449,0.21933238641954145
5,Centralized,Googlenet,0.08814796922206879,0.2781,0.2703611305459886,0.2781,0.250795070790066
6,Centralized,Googlenet,0.08447512499094009,0.3173,0.32932190988916515,0.3172999999999999,0.3000157127099227
7,Centralized,Googlenet,0.08022207933664321,0.3328,0.3645573329542094,0.33279999999999993,0.32082822968159463
8,Centralized,Googlenet,0.07618813707828521,0.3633,0.394052840841683,0.36329999999999996,0.35796792081739964
9,Centralized,Googlenet,0.07852717854976654,0.3597,0.3795212126013414,0.35969999999999996,0.34716790547861415
10,Centralized,Googlenet,0.0763572012424469,0.3711,0.4005802872063494,0.37110000000000004,0.36214275568148296
11,Centralized,Googlenet,0.07594465655088424,0.376,0.40525656967594126,0.37599999999999995,0.36770618890089346
12,Centralized,Googlenet,0.07242752701044082,0.4078,0.42233716976638336,0.40779999999999994,0.3994088445782145
13,Centralized,Googlenet,0.07695732377767563,0.3912,0.4360569002048348,0.39120000000000005,0.3926965482856064
14,Centralized,Googlenet,0.0767274915099144,0.3927,0.419376873854244,0.39270000000000005,0.38771554469043257
15,Centralized,Googlenet,0.0742005043387413,0.4098,0.43604194477063507,0.4097999999999999,0.4075397537767324
16,Centralized,Googlenet,0.07994559257030487,0.3881,0.4240365170334027,0.38809999999999995,0.3854695774442709
17,Centralized,Googlenet,0.07783582742214203,0.4046,0.4420139558335989,0.4046,0.4064411911708039
18,Centralized,Googlenet,0.0798590901851654,0.4079,0.44396837851317805,0.4079,0.4111016796188782
19,Centralized,Googlenet,0.07983474324941635,0.4092,0.43706700950783417,0.4092,0.4070964073790404
20,Centralized,Googlenet,0.08538098570108414,0.3911,0.4389341076855258,0.39110000000000006,0.39406657461395944
