round,strategy,c_loss,c_accuracy,d_accuracy
1,FedAvg,2.2945580844637714,0.1287,0.1287
2,FedAvg,2.245178802103936,0.196,0.196
3,FedAvg,2.08187116399596,0.2473,0.2473
4,FedAvg,1.974940447867671,0.276,0.276
5,FedAvg,1.8870557561705383,0.311,0.311
6,FedAvg,1.7773717551291743,0.3483,0.3483
7,FedAvg,1.7174495579321174,0.3739,0.3738999999999999
8,FedAvg,1.6711126113239725,0.3951,0.3951
9,FedAvg,1.6403544235833083,0.4015,0.4015
10,FedAvg,1.6092266417756866,0.4133,0.4133
11,FedAvg,1.5912495066847985,0.4149,0.4148999999999999
12,FedAvg,1.5603537333162525,0.4277,0.4276999999999999
13,FedAvg,1.5406606136998044,0.4281,0.4280999999999999
14,FedAvg,1.5038063707230966,0.4468,0.4468
15,FedAvg,1.4920616255530827,0.4546,0.4546
16,FedAvg,1.4802111432522158,0.4636,0.4636
17,FedAvg,1.4679692198958578,0.4617,0.4617
18,FedAvg,1.4456972245928608,0.4734,0.4734
19,FedAvg,1.4287590512746495,0.4824,0.4824
20,FedAvg,1.4338377457630784,0.4785,0.4785
21,FedAvg,1.398940237262581,0.4912,0.4912
22,FedAvg,1.3940307475343536,0.5058,0.5058
23,FedAvg,1.3679349724250505,0.511,0.511
24,FedAvg,1.3668840082385871,0.5094,0.5094
25,FedAvg,1.3581897699380223,0.5116,0.5116
26,FedAvg,1.3692411357843424,0.5064,0.5064
27,FedAvg,1.3365459683575207,0.5229,0.5229
28,FedAvg,1.3358954221387451,0.5208,0.5208
29,FedAvg,1.3237500115285945,0.5342,0.5342
30,FedAvg,1.3019222443616842,0.536,0.536
31,FedAvg,1.300486873976792,0.5378,0.5378
32,FedAvg,1.2986403914946545,0.538,0.538
33,FedAvg,1.2783295912078665,0.541,0.541
34,FedAvg,1.2675513300714614,0.5486,0.5486
35,FedAvg,1.264824779727791,0.5495,0.5495
36,FedAvg,1.255061816565598,0.5523,0.5523
37,FedAvg,1.2589159932317613,0.5532,0.5532
38,FedAvg,1.2506744771064082,0.5559,0.5559
39,FedAvg,1.2507312343090395,0.56,0.56
40,FedAvg,1.2362706842301767,0.5631,0.5631
41,FedAvg,1.2260362664355506,0.5651,0.5651
42,FedAvg,1.221249996106836,0.5697,0.5697
43,FedAvg,1.2206439217434657,0.5667,0.5667
44,FedAvg,1.2218847531306594,0.5657,0.5657
45,FedAvg,1.202438801904268,0.5743,0.5743
46,FedAvg,1.196001665501655,0.5794,0.5794
47,FedAvg,1.1943944820874854,0.5782,0.5782
48,FedAvg,1.1873845073241225,0.5805,0.5805
49,FedAvg,1.1835653555544117,0.5807,0.5807000000000001
50,FedAvg,1.181476903867118,0.5776,0.5776
51,FedAvg,1.178287217888651,0.5823,0.5823
52,FedAvg,1.1772319523594048,0.5839,0.5839
53,FedAvg,1.1699903101860722,0.5827,0.5827
54,FedAvg,1.1719869865646846,0.5819,0.5819
55,FedAvg,1.1777472790283492,0.5823,0.5823
56,FedAvg,1.1645555745197247,0.5864,0.5864
57,FedAvg,1.185816903657551,0.5805,0.5805
58,FedAvg,1.1559338856347,0.59,0.5900000000000001
59,FedAvg,1.152517335324348,0.5901,0.5901
60,FedAvg,1.1548301200323468,0.5888,0.5888
61,FedAvg,1.1613020300865171,0.589,0.589
62,FedAvg,1.146784622457963,0.5967,0.5967
63,FedAvg,1.142128075979933,0.5943,0.5943
64,FedAvg,1.150772790365581,0.5926,0.5926
65,FedAvg,1.132013426551336,0.5982,0.5982
66,FedAvg,1.128532998924014,0.6009,0.6009
67,FedAvg,1.1412704888778398,0.5991,0.5991
68,FedAvg,1.1334575007233438,0.5991,0.5991
69,FedAvg,1.1312423325792145,0.597,0.597
70,FedAvg,1.1416197336172755,0.5923,0.5923
71,FedAvg,1.141347873060009,0.5993,0.5993
72,FedAvg,1.1358799526963053,0.5964,0.5964
73,FedAvg,1.1204411953310425,0.6025,0.6025
74,FedAvg,1.1328823332545124,0.6005,0.6005
75,FedAvg,1.1296438144732126,0.6017,0.6017
76,FedAvg,1.1479006726530534,0.5964,0.5964
77,FedAvg,1.120015933543821,0.604,0.604
78,FedAvg,1.124149440964566,0.6046,0.6046
79,FedAvg,1.1207222033150588,0.6023,0.6023000000000001
80,FedAvg,1.114211925977393,0.6054,0.6054
81,FedAvg,1.1246652331533311,0.6061,0.6061
82,FedAvg,1.1199306000637104,0.6067,0.6067
83,FedAvg,1.120411676696584,0.6058,0.6058000000000001
84,FedAvg,1.118657080433037,0.6099,0.6099
85,FedAvg,1.1348810263826876,0.6011,0.6011
86,FedAvg,1.1302280501474309,0.6059,0.6059000000000001
87,FedAvg,1.1184363395352908,0.6084,0.6084
